timestamp;Volumetic_water_content;Soil_temperature;Electrical_conductivity
 2023-06-08 14:04:13; 0.352; 9.800; 126.000
 2023-06-08 14:14:09; 0.351; 9.800; 126.000
 2023-06-08 14:24:10; 0.351; 9.800; 126.000
 2023-06-08 14:34:12; 0.351; 9.800; 126.000
 2023-06-08 14:44:11; 0.352; 9.800; 125.000
 2023-06-08 14:54:09; 0.351; 9.800; 126.000
 2023-06-08 15:04:10; 0.351; 9.800; 126.000
 2023-06-08 15:14:12; 0.351; 9.800; 126.000
 2023-06-08 15:24:09; 0.351; 9.800; 126.000
 2023-06-08 15:34:13; 0.352; 9.800; 125.000
 2023-06-08 15:44:09; 0.352; 9.800; 125.000
 2023-06-08 15:54:07; 0.351; 9.800; 126.000
 2023-06-08 16:04:09; 0.351; 9.800; 125.000
 2023-06-08 16:14:10; 0.352; 9.800; 125.000
 2023-06-08 16:24:12; 0.352; 9.800; 125.000
 2023-06-08 16:34:07; 0.352; 9.800; 125.000
 2023-06-08 16:44:06; 0.351; 9.800; 125.000
 2023-06-08 16:54:08; 0.351; 9.800; 125.000
 2023-06-08 17:04:08; 0.351; 9.800; 126.000
 2023-06-08 17:14:12; 0.351; 9.800; 125.000
 2023-06-08 17:24:13; 0.351; 9.800; 125.000
 2023-06-08 17:34:13; 0.351; 9.800; 125.000
 2023-06-08 17:44:13; 0.351; 9.800; 126.000
 2023-06-08 17:54:06; 0.351; 9.800; 125.000
 2023-06-08 18:04:13; 0.351; 9.800; 125.000
 2023-06-08 18:14:10; 0.351; 9.800; 126.000
 2023-06-08 18:24:08; 0.351; 9.800; 126.000
 2023-06-08 18:34:07; 0.351; 9.800; 126.000
 2023-06-08 18:44:11; 0.351; 9.800; 125.000
 2023-06-08 18:54:09; 0.351; 9.800; 125.000
 2023-06-08 19:04:11; 0.352; 9.800; 126.000
 2023-06-08 19:14:10; 0.352; 9.800; 125.000
 2023-06-08 19:24:07; 0.352; 9.800; 125.000
 2023-06-08 19:34:07; 0.351; 9.800; 124.000
 2023-06-08 19:44:13; 0.351; 9.800; 125.000
 2023-06-08 19:54:10; 0.351; 9.800; 125.000
 2023-06-08 20:04:09; 0.352; 9.800; 125.000
 2023-06-08 20:14:13; 0.351; 9.800; 125.000
 2023-06-08 20:24:06; 0.352; 9.800; 125.000
 2023-06-08 20:34:12; 0.352; 9.800; 125.000
 2023-06-08 20:44:12; 0.351; 9.800; 125.000
 2023-06-08 20:54:09; 0.351; 9.800; 125.000
 2023-06-08 21:04:11; 0.351; 9.800; 125.000
 2023-06-08 21:14:13; 0.351; 9.800; 125.000
 2023-06-08 21:24:06; 0.351; 9.800; 125.000
 2023-06-08 21:34:09; 0.352; 9.800; 125.000
 2023-06-08 21:44:09; 0.352; 9.800; 125.000
 2023-06-08 21:54:06; 0.351; 9.800; 125.000
 2023-06-08 22:04:09; 0.352; 9.800; 125.000
 2023-06-08 22:14:13; 0.351; 9.800; 125.000
 2023-06-08 22:24:11; 0.352; 9.800; 125.000
 2023-06-08 22:34:06; 0.351; 9.800; 125.000
 2023-06-08 22:44:08; 0.351; 9.800; 125.000
 2023-06-08 22:54:08; 0.351; 9.800; 125.000
 2023-06-08 23:04:08; 0.351; 9.800; 124.000
 2023-06-08 23:24:12; 0.351; 9.800; 124.000
 2023-06-08 23:34:13; 0.352; 9.800; 125.000
 2023-06-08 23:44:13; 0.351; 9.800; 125.000
 2023-06-08 23:54:07; 0.351; 9.800; 124.000
 2023-06-09 00:04:10; 0.352; 9.800; 125.000
 2023-06-09 00:14:13; 0.351; 9.700; 125.000
 2023-06-09 00:24:06; 0.351; 9.700; 125.000
 2023-06-09 00:34:08; 0.351; 9.700; 125.000
 2023-06-09 00:44:08; 0.351; 9.700; 125.000
 2023-06-09 00:54:09; 0.351; 9.700; 125.000
 2023-06-09 01:04:11; 0.351; 9.700; 124.000
 2023-06-09 01:14:09; 0.352; 9.700; 124.000
 2023-06-09 01:24:11; 0.352; 9.700; 125.000
 2023-06-09 01:34:06; 0.351; 9.700; 125.000
 2023-06-09 01:44:13; 0.351; 9.700; 125.000
 2023-06-09 01:54:10; 0.351; 9.700; 125.000
 2023-06-09 02:04:12; 0.352; 9.600; 124.000
 2023-06-09 02:14:12; 0.351; 9.600; 125.000
 2023-06-09 02:24:08; 0.351; 9.600; 124.000
 2023-06-09 02:34:08; 0.351; 9.600; 124.000
 2023-06-09 02:44:09; 0.351; 9.600; 124.000
 2023-06-09 02:54:06; 0.351; 9.600; 125.000
 2023-06-09 03:04:08; 0.351; 9.600; 124.000
 2023-06-09 03:14:14; 0.351; 9.600; 124.000
 2023-06-09 03:24:11; 0.351; 9.600; 124.000
 2023-06-09 03:34:07; 0.351; 9.500; 124.000
 2023-06-09 03:44:06; 0.351; 9.500; 124.000
 2023-06-09 03:54:13; 0.351; 9.500; 125.000
 2023-06-09 04:04:06; 0.352; 9.500; 125.000
 2023-06-09 04:14:09; 0.351; 9.500; 125.000
 2023-06-09 04:24:10; 0.351; 9.500; 124.000
 2023-06-09 04:34:12; 0.352; 9.500; 124.000
 2023-06-09 04:44:13; 0.352; 9.400; 124.000
 2023-06-09 04:54:11; 0.351; 9.400; 125.000
 2023-06-09 05:04:10; 0.351; 9.400; 124.000
 2023-06-09 05:14:13; 0.351; 9.400; 124.000
 2023-06-09 05:24:06; 0.352; 9.400; 124.000
 2023-06-09 05:34:12; 0.351; 9.400; 125.000
 2023-06-09 05:44:08; 0.351; 9.400; 124.000
 2023-06-09 05:54:09; 0.351; 9.400; 125.000
 2023-06-09 06:04:11; 0.351; 9.300; 125.000
 2023-06-09 06:24:07; 0.351; 9.300; 124.000
 2023-06-09 06:34:07; 0.351; 9.300; 124.000
 2023-06-09 06:44:09; 0.351; 9.300; 125.000
 2023-06-09 06:54:12; 0.351; 9.300; 124.000
 2023-06-09 07:04:12; 0.351; 9.300; 124.000
 2023-06-09 07:14:12; 0.351; 9.300; 124.000
 2023-06-09 07:24:06; 0.352; 9.300; 125.000
 2023-06-09 07:34:12; 0.352; 9.200; 125.000
 2023-06-09 07:44:09; 0.351; 9.200; 125.000
